Name	ID	HW1	HW2	MID	TOT		GRADE							
4550		70	60	80	30								
	3703	37.5	30.5	69	22.48076923	B							
	4295	62	58	62	24.73076923	B							
	1330	56.5	54	49	20.75		C							
	0264	64	48.5	76	27.65384615	A							
	2406	55	57.5	70	26.15384615	A							
	3002	27.5		72	20.11538462	C							
	4964	57.5	49	67	24.94230769	B							
	1102	55	45.5	65	23.98076923	B							
	4351	66	49.5	63.5	24.75961538	B							
	0522	60	53	69.5	26.06730769	A							
	8741	55	41.5	58.5	22.04807692	B							
	6575	61	52	70	26.19230769	A							
	2332	42	47	45.5	18.22115385	C							
	2200	59	45.5	62.5	23.66346154	B							
	5580	52.5	36.5	59	21.59615385	B							
	7994	62.5	47	70	25.92307692	A							
	9852	28	45	41	15.86538462	D							
	6306	60	50	54.5	22.08653846	B							
	5098	39.5	33	32.5	13.70192308	F							
	6993	22.5	48.5	55.5	19.33653846	C							
	8014	61	59	68	26.23076923	A							
	0626	62.5	58	68	26.26923077	A							
	8293	65.5	58	43	20.25		C							
													
													
													
Name	ID	HW1	HW2	MID	TOT		GRADE							
6550		70	60	90	30								
	0326	65	60	67	24.5042735	B							
	9512	53	49	62.5	21.73504274	B							
	9227	64.5	59	79	27.05555556	A							
	6034	66.5	55	53	21.12393162	C							
	2274	51.5	50	63	21.80769231	B							
	9312	68.5	59	72	25.80769231	A							
	6102	61.5	54	68	23.9957265	B							
	8596	57.5	52.5	82	26.68376068	A							
	9187	69	57.5	89	29.50854701	A							
	2373	69	57	72	25.69230769	A							
	9362	66	53.5	83	27.63675214	A							
	0568	68	57	75	26.28205128	A							
	4912	64	40	75	24.66666667	B							
	8788	56	52	70	23.86324786	B							
	8716	65.5	48	86	27.84188034	A							
